time,co2_price,grid_import,pv_gen,battery_discharge,battery_charge,battery_soc,gas_boiler_heat,heat_pump_el,battery_capacity,pv_capacity,heat_pump_capacity,cost_grid,co2_emissions,co2_cost,total_cost
2019-01-01 00:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.0228310502283105,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 01:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.045662100456621,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 02:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.0684931506849315,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 03:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.091324200913242,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 04:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.1141552511415525,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 05:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.136986301369863,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 06:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.1598173515981735,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 07:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.182648401826484,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 08:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.2054794520547945,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 09:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.228310502283105,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
2019-01-01 10:00:00,0,0.7420091324200914,0.2853881278538813,0.1141552511415525,0.136986301369863,0.2511415525114155,1.2557077625570776,0.1141552511415525,2.0,1.5,0.5,0.0422374429223744,0.3767123287671233,0.0,0.06534246575342466
